Model,PMID,QID,Type,Question,Human Answer,Model Answer,annotation_verdict,verdict,note
GPT-6 Astra QSP,40839365,5,Number,How many individuals had samples obtained for HIV sequencing?,212,288,ok,annotation/convention,R6 QID 5 denominator: both 288 and 212 are stated in the paper
GPT-6 Astra QSP,40857111,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ambiguous,annotation/convention,ambiguous: paper states participants underwent genotypic/phenotypic resistance analyses; no susceptibility values shown
GPT-6 Astra QSP,40857111,5,Number,How many individuals had samples obtained for HIV sequencing?,7 (Uncertain),241,ambiguous,annotation/convention,ambiguous: annotation hedges: '7 (Uncertain)'
GPT-6 Astra QSP,40872801,10,List,What method was used for sequencing?,Sanger,Not reported,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-6 Astra QSP,40872801,11,List,What type of samples were sequenced?,Plasma,Not applicable,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-6 Astra QSP,40872801,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,Not applicable,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-6 Astra QSP,40872801,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-6 Astra QSP,40872801,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI",None,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-6 Astra QSP,40872801,6,List,From which countries were the sequenced samples obtained?,Tanzania,Not applicable,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-6 Astra QSP,40872801,7,List,From what years were the sequenced samples obtained?,2004-2021,Not applicable,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-6 Astra QSP,40872801,9,List,Which HIV genes were reported to have been sequenced?,"RT, PR",Not applicable,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-6 Astra QSP,40938120,5,Number,How many individuals had samples obtained for HIV sequencing?,1048,1260,ok,annotation/convention,R6 QID 5 denominator: both 1260 and 1048 are stated in the paper
GPT-6 Astra QSP,40938996,8,Boolean,Were samples cloned prior to sequencing?,Yes  ,Not applicable,ok,model error,
GPT-6 Astra QSP,40938996,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN, NC, Env","PR, RT, IN, CA, Env",ok,model error,
GPT-6 Astra QSP,40965168,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,40965168,11,List,What type of samples were sequenced?,Not applicable,Plasma,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,40965168,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,40965168,5,Number,How many individuals had samples obtained for HIV sequencing?,0,24,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,40974886,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI",NRTIs; INSTIs,ok,model error,
GPT-6 Astra QSP,40974886,5,Number,How many individuals had samples obtained for HIV sequencing?,223,Not reported,ok,model error,
GPT-6 Astra QSP,41004608,9,List,Which HIV genes were reported to have been sequenced?,Whole genome,"PR, RT, IN, CA, Env",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,41012586,11,List,What type of samples were sequenced?,Plasma (presumably),Plasma,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,41023944,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI,NNRTI,INSTI",INSTIs,ok,model error,
GPT-6 Astra QSP,41056006,10,List,What method was used for sequencing?,Sanger,Not reported,convention,annotation/convention,convention: annotation defaults to Sanger; the PDF never mentions it
GPT-6 Astra QSP,41056006,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ambiguous,annotation/convention,"ambiguous: PhenoSense Gag-Pro assay stated at study entry; the QSP rule ('describes a susceptibility assay') supports Yes, no numeric results are shown"
GPT-6 Astra QSP,41056006,5,Number,How many individuals had samples obtained for HIV sequencing?,10,182,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,41056006,6,List,From which countries were the sequenced samples obtained?,Not provided (multicenter trial),United States; Dominican Republic,ambiguous,annotation/convention,ambiguous: annotation hedges: 'Not provided (multicenter trial)'
GPT-6 Astra QSP,41057785,10,List,What method was used for sequencing?,Sanger (not stated),Not reported,ambiguous,annotation/convention,ambiguous: annotation hedges: 'Sanger (not stated)'
GPT-6 Astra QSP,41088231,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
GPT-6 Astra QSP,41088231,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?, No,Yes,ok,model error,
GPT-6 Astra QSP,41088231,15,List,Which drug classes were received by individuals in the study before sample sequencing?,None,"NRTIs, INSTIs",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-6 Astra QSP,41088231,16,List,Which drugs were received by individuals in the study before sample sequencing?,None,"Bictegravir (BIC), emtricitabine (FTC), tenofovir alafenamide (TAF)",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-6 Astra QSP,41088231,8,Boolean,Were samples cloned prior to sequencing?,Yes,Not applicable,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,41088231,9,List,Which HIV genes were reported to have been sequenced?,Whole genome,"PR, RT, IN, CA, Env",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,41091504,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-6 Astra QSP,41091504,8,Boolean,Were samples cloned prior to sequencing?,Yes (site-directed mutants),Not applicable,wrong,annotation/convention,"wrong: computational paper (molecular dynamics and machine learning on published protease data); the PDF never mentions cloning, site-directed mutagenesis or sequencing, yet the annotation says 'Yes (site-directed mutants)'"
GPT-6 Astra QSP,41093949,10,List,What method was used for sequencing?,Not stated,Sanger sequencing,ambiguous,annotation/convention,ambiguous: annotation hedges: 'Not stated'
GPT-6 Astra QSP,41093949,8,Boolean,Were samples cloned prior to sequencing?,Yes,Not applicable,ok,model error,
GPT-6 Astra QSP,41129268,5,Number,How many individuals had samples obtained for HIV sequencing?,333,428,ok,annotation/convention,R6 QID 5 denominator: both 428 and 333 are stated in the paper
GPT-6 Astra QSP,41130593,5,Number,How many individuals had samples obtained for HIV sequencing?,64,77,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,41130593,6,List,From which countries were the sequenced samples obtained?,Not provided (multicenter trial),South Africa,ambiguous,annotation/convention,ambiguous: annotation hedges: 'Not provided (multicenter trial)'
GPT-6 Astra QSP,41130593,7,List,From what years were the sequenced samples obtained?,Not provided,2021–2023,wrong,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-6 Astra QSP,41130593,8,Boolean,Were samples cloned prior to sequencing?,Yes (single genome),Not applicable,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,41140464,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,Not applicable,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-6 Astra QSP,41140464,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-6 Astra QSP,41140464,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI",None,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-6 Astra QSP,41140464,6,List,From which countries were the sequenced samples obtained?,Tanzania,Not applicable,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
Kimi K3 QSP,21115794,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
Kimi K3 QSP,26311878,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
Kimi K3 QSP,26311878,9,List,Which HIV genes were reported to have been sequenced?,Not reported,IN,ok,model error,
Kimi K3 QSP,27009474,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,ok,model error,
Kimi K3 QSP,27009474,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI",None,ok,model error,
Kimi K3 QSP,27009474,16,List,Which drugs were received by individuals in the study before sample sequencing?,"Tenofovir, Emtricitabine, Elvitegravir",None,ok,model error,
Kimi K3 QSP,27009474,6,List,From which countries were the sequenced samples obtained?,Not reported,United States,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
Kimi K3 QSP,27124362,9,List,Which HIV genes were reported to have been sequenced?,Not reported,RT,ok,model error,
Kimi K3 QSP,28559249,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,ok,model error,
Kimi K3 QSP,28559249,9,List,Which HIV genes were reported to have been sequenced?,RT,None,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
Kimi K3 QSP,29373677,6,List,From which countries were the sequenced samples obtained?,Not reported,France,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
Kimi K3 QSP,29373677,8,Boolean,Were samples cloned prior to sequencing?,No,Yes,ok,model error,
Kimi K3 QSP,30053052,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
Kimi K3 QSP,30053052,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, NNRTI",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
Kimi K3 QSP,30053052,5,Number,How many individuals had samples obtained for HIV sequencing?,51,27,ok,model error,
Kimi K3 QSP,30053052,8,Boolean,Were samples cloned prior to sequencing?,No,Yes,ok,model error,
Kimi K3 QSP,30803972,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
Kimi K3 QSP,30803972,9,List,Which HIV genes were reported to have been sequenced?,Not reported,IN,ok,model error,
Kimi K3 QSP,31988104,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
Kimi K3 QSP,31988104,11,List,What type of samples were sequenced?,Not reported,Plasma,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
Kimi K3 QSP,31988104,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
Kimi K3 QSP,31988104,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,14,Yes,unanswerable,annotation/convention,unanswerable: Boolean question annotated '14'
Kimi K3 QSP,31988104,5,Number,How many individuals had samples obtained for HIV sequencing?,0,14,ok,model error,
Kimi K3 QSP,31988104,8,Boolean,Were samples cloned prior to sequencing?,No,Yes,ok,model error,
Kimi K3 QSP,34516245,8,Boolean,Were samples cloned prior to sequencing?,Yes,Not applicable,ok,model error,
Kimi K3 QSP,35730213,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, INSTI",None,ok,model error,
Kimi K3 QSP,35730213,16,List,Which drugs were received by individuals in the study before sample sequencing?,"EFV, DTG, TDF, 3TC",None,ok,model error,
Kimi K3 QSP,35913500,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,ok,model error,
Kimi K3 QSP,35913500,11,List,What type of samples were sequenced?,Not reported,Plasma,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
